Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
Anhui,China,31.8257,117.2264,04-02-2020,990,6,984
Beijing,China,40.1824,116.4142,04-02-2020,582,8,424
Chongqing,China,30.0572,107.874,04-02-2020,579,6,570
Fujian,China,26.0789,117.9874,04-02-2020,345,1,299
Gansu,China,37.8099,101.0583,04-02-2020,138,2,127
Guangdong,China,23.3417,113.4244,04-02-2020,1507,8,1365
Guangxi,China,23.8298,108.7881,04-02-2020,254,2,252
Guizhou,China,26.8154,106.8748,04-02-2020,146,2,144
Hainan,China,19.1959,109.7453,04-02-2020,168,6,162
Hebei,China,39.549,116.1306,04-02-2020,325,6,310
Heilongjiang,China,47.862,127.7615,04-02-2020,488,13,469
Henan,China,33.882,113.614,04-02-2020,1276,22,1251
Hong Kong,China,22.3,114.2,04-02-2020,802,4,147
Hubei,China,30.9756,112.2707,04-02-2020,67802,3199,63471
Hunan,China,27.6104,111.7088,04-02-2020,1019,4,1014
Inner Mongolia,China,44.0935,113.9448,04-02-2020,117,1,74
Jiangsu,China,32.9711,119.455,04-02-2020,647,0,631
Jiangxi,China,27.614,115.7221,04-02-2020,937,1,935
Jilin,China,43.6661,126.1923,04-02-2020,98,1,92
Liaoning,China,41.2956,122.6085,04-02-2020,141,2,124
Macau,China,22.1667,113.55,04-02-2020,41,0,10
Ningxia,China,37.2692,106.1655,04-02-2020,75,0,75
Qinghai,China,35.7452,95.9956,04-02-2020,18,0,18
Shaanxi,China,35.1917,108.8701,04-02-2020,255,3,242
Shandong,China,36.3427,118.1498,04-02-2020,775,7,753
Shanghai,China,31.202,121.4491,04-02-2020,522,6,343
Shanxi,China,37.5777,112.2922,04-02-2020,137,0,133
Sichuan,China,30.6171,102.7103,04-02-2020,554,3,537
Tianjin,China,39.3054,117.323,04-02-2020,176,3,135
Tibet,China,31.6927,88.0924,04-02-2020,1,0,1
Xinjiang,China,41.1129,85.2401,04-02-2020,76,3,73
Yunnan,China,24.974,101.487,04-02-2020,183,2,172
Zhejiang,China,29.1832,120.0934,04-02-2020,1258,1,1228
